candidate_key,date_key,seniority_key,technology_key,years_of_experience,code_challenge_score,technical_interview_score,hired_flag
15179,20210721,6,8,15,0.0,1.0,0
8744,20201109,3,11,10,7.0,2.0,0
26981,20180809,5,3,13,4.0,1.0,0
3587,20200106,6,15,7,8.0,0.0,0
22898,20190306,4,22,11,5.0,10.0,0
42989,20191214,3,7,11,10.0,2.0,0
29948,20191210,2,13,12,1.0,9.0,0
48450,20180901,3,19,9,7.0,5.0,0
39649,20181023,7,18,15,6.0,10.0,0
3140,20201018,6,13,18,1.0,8.0,0
18858,20211202,3,11,29,2.0,6.0,0
9978,20210627,7,20,17,9.0,4.0,0
48161,20201123,4,4,30,6.0,10.0,0
21502,20220617,3,3,7,7.0,9.0,1
22107,20211105,5,14,10,2.0,8.0,0
34563,20200715,7,21,15,6.0,3.0,0
4171,20201102,7,11,4,1.0,1.0,0
43270,20191125,6,18,2,5.0,7.0,0
31994,20180107,3,3,8,5.0,2.0,0
39796,20180427,2,23,10,7.0,7.0,1
39853,20180321,5,18,22,0.0,0.0,0
21304,20181006,6,10,5,8.0,4.0,0
48247,20190321,3,24,12,3.0,0.0,0
33547,20210218,4,8,1,4.0,6.0,0
32888,20210127,7,20,11,10.0,10.0,1
40741,20190217,5,11,25,0.0,4.0,0
39184,20200403,5,5,3,3.0,6.0,0
30694,20180718,7,20,2,8.0,10.0,1
32576,20190214,6,7,4,7.0,6.0,0
31000,20200815,3,13,5,9.0,3.0,0
19045,20181206,4,13,20,9.0,2.0,0
8245,20220211,1,10,3,10.0,10.0,1
20563,20181211,1,6,10,4.0,5.0,0
30800,20200611,5,5,5,4.0,1.0,0
18364,20220208,7,15,6,1.0,2.0,0
1750,20211214,2,3,10,3.0,7.0,0
26154,20211123,2,22,1,10.0,8.0,1
33294,20210430,1,4,8,4.0,4.0,0
45627,20181219,4,19,25,7.0,9.0,1
15753,20181001,2,20,30,9.0,0.0,0
33446,20190618,7,2,13,6.0,0.0,0
34399,20180119,5,7,11,6.0,8.0,0
16794,20201103,3,6,24,10.0,3.0,0
16182,20180903,4,14,12,8.0,5.0,0
35106,20190430,1,12,20,7.0,5.0,0
14496,20180208,7,13,17,1.0,7.0,0
11058,20180808,4,13,28,5.0,8.0,0
21219,20200523,2,11,12,9.0,10.0,1
49382,20201207,3,14,7,3.0,5.0,0
16702,20181106,3,23,29,3.0,1.0,0
41825,20210112,4,16,16,5.0,7.0,0
16558,20190221,4,10,17,0.0,4.0,0
1635,20220217,3,17,21,2.0,7.0,0
16240,20200620,4,2,19,2.0,10.0,0
48786,20210822,7,8,21,3.0,3.0,0
38980,20190203,5,19,2,1.0,6.0,0
16834,20210828,2,2,0,6.0,6.0,0
1630,20180727,6,22,21,10.0,5.0,0
44575,20190103,5,8,21,6.0,0.0,0
806,20180221,1,18,15,0.0,3.0,0
5903,20190322,7,12,23,9.0,1.0,0
4443,20180519,2,7,2,1.0,0.0,0
49386,20220227,3,24,24,8.0,10.0,1
18714,20180326,2,9,24,0.0,7.0,0
15033,20180402,3,12,23,10.0,3.0,0
13686,20190126,7,17,30,2.0,8.0,0
1048,20220620,4,24,29,9.0,8.0,1
10487,20181223,4,22,16,1.0,10.0,0
33211,20200522,2,11,0,5.0,6.0,0
42685,20190723,2,7,4,8.0,6.0,0
291,20191226,2,21,12,3.0,6.0,0
49797,20210427,2,8,10,1.0,2.0,0
29631,20181227,6,6,10,1.0,3.0,0
37316,20200814,4,15,22,4.0,10.0,0
28771,20190227,1,21,23,10.0,3.0,0
11476,20210221,3,14,29,6.0,6.0,0
37896,20210213,5,15,30,8.0,9.0,1
16909,20190315,6,9,1,7.0,2.0,0
44750,20220409,4,14,16,7.0,2.0,0
23279,20220626,4,12,19,5.0,7.0,0
2168,20200207,5,7,30,6.0,0.0,0
31370,20180309,2,11,1,8.0,4.0,0
20999,20190812,4,15,28,0.0,2.0,0
39823,20220323,3,24,26,3.0,8.0,0
30842,20181130,1,6,13,0.0,5.0,0
3625,20200425,5,8,14,0.0,2.0,0
10943,20180731,6,12,18,5.0,0.0,0
36214,20201225,6,15,1,1.0,0.0,0
38409,20210124,3,2,17,1.0,7.0,0
15453,20200510,4,13,24,1.0,5.0,0
16630,20201214,6,2,14,4.0,10.0,0
43062,20220101,3,13,7,6.0,3.0,0
39140,20180604,2,23,6,2.0,3.0,0
2105,20190605,3,7,13,3.0,10.0,0
11235,20220320,2,3,11,7.0,7.0,1
17735,20180125,5,5,8,7.0,9.0,1
2769,20210124,6,10,10,3.0,9.0,0
29753,20201021,4,15,22,6.0,7.0,0
47665,20181215,3,12,12,5.0,5.0,0
41376,20220517,6,17,20,10.0,9.0,1
20068,20190605,2,1,2,4.0,8.0,0
20717,20190919,5,7,1,0.0,9.0,0
8092,20180713,1,20,13,0.0,3.0,0
26074,20211127,7,4,2,6.0,10.0,0
48427,20220607,7,12,27,10.0,4.0,0
10112,20220428,3,19,29,1.0,0.0,0
30115,20220621,1,12,1,8.0,9.0,1
44500,20190402,3,23,18,8.0,7.0,1
39145,20190418,5,18,25,9.0,3.0,0
43057,20200715,4,2,12,8.0,9.0,1
8150,20210923,5,10,16,8.0,4.0,0
42016,20210301,6,9,30,1.0,5.0,0
49777,20200322,7,12,25,2.0,7.0,0
20307,20211214,7,22,4,1.0,6.0,0
33425,20200312,6,6,27,6.0,3.0,0
28018,20190216,4,19,26,7.0,10.0,1
9720,20220329,7,10,12,4.0,0.0,0
41744,20220331,5,4,12,7.0,1.0,0
34725,20190403,3,16,23,6.0,2.0,0
14931,20191104,7,16,25,7.0,4.0,0
8761,20190303,5,15,19,5.0,8.0,0
19397,20191230,1,6,11,10.0,7.0,1
29475,20200515,3,7,1,6.0,8.0,0
42514,20200626,6,7,19,6.0,4.0,0
22202,20201026,6,9,21,8.0,4.0,0
8312,20210530,5,1,8,3.0,2.0,0
32134,20190818,5,6,11,9.0,4.0,0
34852,20200420,3,17,8,5.0,7.0,0
43570,20191116,6,16,7,3.0,1.0,0
5988,20220215,6,18,21,1.0,6.0,0
18866,20190721,5,19,15,2.0,6.0,0
31043,20181226,2,2,25,7.0,6.0,0
6588,20190427,4,13,30,4.0,10.0,0
884,20180925,4,2,13,1.0,5.0,0
5580,20201126,3,2,12,8.0,3.0,0
44630,20211104,5,4,7,8.0,0.0,0
39197,20181119,1,21,24,2.0,2.0,0
19319,20180607,1,7,12,5.0,3.0,0
46275,20200127,5,20,4,10.0,9.0,1
26772,20210119,6,17,21,10.0,2.0,0
35149,20201130,4,16,30,8.0,7.0,1
28609,20190325,3,21,4,6.0,6.0,0
24483,20190211,4,13,29,5.0,2.0,0
34277,20180805,3,11,28,0.0,0.0,0
27821,20220510,2,4,14,1.0,7.0,0
21895,20210730,4,15,15,7.0,8.0,1
27636,20200418,2,21,9,3.0,1.0,0
22997,20200729,1,5,9,0.0,5.0,0
8534,20200111,4,2,5,3.0,3.0,0
19164,20180522,6,24,3,10.0,2.0,0
37975,20220630,6,15,24,6.0,0.0,0
24046,20180923,2,15,27,0.0,6.0,0
12227,20210531,6,21,17,10.0,3.0,0
41796,20201110,4,13,20,3.0,3.0,0
29009,20200410,4,15,28,8.0,9.0,1
37066,20211109,1,1,10,2.0,9.0,0
27448,20190812,4,7,30,3.0,9.0,0
3158,20220505,4,12,4,5.0,6.0,0
35594,20190626,6,15,7,5.0,2.0,0
17770,20180526,1,14,14,5.0,2.0,0
24629,20210721,4,1,19,4.0,3.0,0
11213,20191110,3,14,2,4.0,1.0,0
10431,20180309,2,23,29,4.0,8.0,0
45605,20201119,1,4,27,1.0,0.0,0
14183,20211111,1,10,23,9.0,7.0,1
16221,20200424,6,9,24,0.0,5.0,0
47025,20210902,3,13,9,5.0,0.0,0
17755,20220504,7,14,26,0.0,1.0,0
27268,20220316,4,2,17,3.0,3.0,0
41934,20191130,3,16,5,3.0,4.0,0
22494,20210615,2,4,22,5.0,6.0,0
21626,20210529,6,4,29,4.0,7.0,0
638,20180919,5,6,24,10.0,5.0,0
34189,20220606,4,23,14,2.0,6.0,0
32249,20220614,2,3,3,10.0,2.0,0
29336,20201003,5,10,2,10.0,4.0,0
10139,20220311,5,9,21,8.0,0.0,0
8269,20201210,7,10,7,2.0,10.0,0
11821,20180917,5,22,16,5.0,7.0,0
36856,20190822,4,12,25,6.0,2.0,0
16574,20210124,3,11,20,6.0,8.0,0
20653,20200906,7,20,28,6.0,4.0,0
38689,20210418,2,13,16,5.0,4.0,0
11008,20180922,2,24,14,1.0,10.0,0
32531,20180924,5,6,25,6.0,8.0,0
22885,20191217,2,15,16,7.0,5.0,0
11242,20181204,7,11,2,0.0,0.0,0
33648,20220222,7,13,22,6.0,0.0,0
13053,20181127,7,21,10,4.0,6.0,0
19118,20200108,6,20,3,10.0,1.0,0
40909,20180315,4,6,18,4.0,1.0,0
688,20180917,3,7,15,2.0,10.0,0
17812,20191229,7,14,2,7.0,9.0,1
9553,20200626,4,6,29,4.0,5.0,0
47474,20180228,7,4,12,1.0,3.0,0
1645,20180711,3,7,5,0.0,0.0,0
35853,20190918,7,2,0,1.0,6.0,0
26916,20181211,1,17,27,5.0,1.0,0
37799,20190721,6,7,9,4.0,7.0,0
22881,20210307,5,14,4,2.0,10.0,0
4982,20220308,1,11,13,0.0,7.0,0
20812,20220417,4,18,6,7.0,1.0,0
46590,20180310,5,14,13,5.0,8.0,0
47498,20200914,3,12,26,2.0,8.0,0
38495,20191125,4,20,3,6.0,8.0,0
4642,20200516,6,21,23,2.0,2.0,0
11375,20180901,2,3,12,6.0,0.0,0
40390,20200827,2,10,30,9.0,8.0,1
25845,20210517,4,12,26,8.0,5.0,0
47960,20200614,5,10,13,10.0,5.0,0
20197,20181130,4,23,17,7.0,4.0,0
39773,20180101,3,18,25,9.0,3.0,0
24395,20201025,4,17,18,4.0,5.0,0
43362,20220209,4,22,22,6.0,10.0,0
13978,20180313,1,24,19,7.0,7.0,1
11873,20200406,5,16,9,6.0,8.0,0
18071,20200604,6,1,1,8.0,2.0,0
32729,20220622,6,21,9,2.0,8.0,0
11224,20211203,3,18,23,0.0,4.0,0
46955,20200424,3,17,6,1.0,1.0,0
8708,20191125,1,19,10,5.0,7.0,0
2403,20200911,2,9,18,9.0,1.0,0
38259,20180813,6,10,28,5.0,10.0,0
10890,20180524,2,23,25,10.0,0.0,0
22378,20200125,1,11,10,9.0,8.0,1
26234,20211123,4,9,7,5.0,9.0,0
33128,20201020,5,18,9,10.0,1.0,0
15411,20190126,2,2,13,2.0,10.0,0
26678,20190513,6,13,19,6.0,9.0,0
45128,20190411,3,20,23,0.0,10.0,0
11917,20190522,7,13,26,8.0,4.0,0
37954,20200331,1,13,25,2.0,8.0,0
90,20210308,3,10,9,9.0,6.0,0
39108,20180728,2,5,6,1.0,6.0,0
7294,20210820,3,12,21,6.0,9.0,0
16551,20220402,1,4,29,9.0,9.0,1
34782,20211101,7,16,18,9.0,10.0,1
10134,20200103,1,20,18,9.0,5.0,0
44462,20180328,5,2,19,7.0,10.0,1
20191,20201027,4,23,24,8.0,4.0,0
21712,20180311,2,2,6,3.0,7.0,0
21538,20201128,4,14,25,7.0,9.0,1
32569,20220703,4,24,22,9.0,6.0,0
46343,20191213,7,14,13,3.0,8.0,0
34170,20180912,1,19,28,10.0,4.0,0
6970,20220308,4,20,0,4.0,9.0,0
32694,20201221,4,13,1,3.0,1.0,0
25726,20190211,5,11,29,0.0,1.0,0
14465,20181220,1,3,7,4.0,2.0,0
38366,20200601,2,7,10,4.0,10.0,0
32087,20181208,1,18,16,1.0,4.0,0
25727,20181002,2,19,19,9.0,10.0,1
35043,20181121,6,21,24,10.0,8.0,1
16191,20211118,6,5,13,9.0,0.0,0
39698,20190404,2,11,7,3.0,3.0,0
18462,20200127,7,13,4,0.0,0.0,0
49371,20200203,1,16,21,0.0,4.0,0
44980,20180303,4,10,9,10.0,5.0,0
4276,20180531,6,20,28,7.0,7.0,1
1242,20191104,6,16,4,10.0,2.0,0
49442,20200101,3,14,2,4.0,2.0,0
19922,20190714,5,10,11,5.0,1.0,0
21894,20200627,1,24,8,4.0,2.0,0
36571,20220323,1,22,11,6.0,5.0,0
16658,20200630,6,16,4,5.0,2.0,0
20398,20190710,5,13,16,10.0,0.0,0
26874,20181118,1,13,27,0.0,7.0,0
44393,20190517,3,24,26,0.0,7.0,0
23394,20180207,5,5,0,5.0,5.0,0
49327,20190705,1,1,27,6.0,6.0,0
32621,20210813,2,14,5,9.0,1.0,0
48587,20211225,6,14,25,8.0,10.0,1
27296,20210203,6,18,28,9.0,6.0,0
19548,20200526,4,11,25,6.0,9.0,0
38090,20180513,5,23,13,1.0,7.0,0
39987,20191222,1,3,10,2.0,3.0,0
35737,20220204,1,13,15,6.0,9.0,0
37866,20181221,3,19,29,4.0,9.0,0
29729,20180921,5,20,11,6.0,0.0,0
7964,20181113,7,13,11,3.0,4.0,0
23457,20200325,3,6,12,5.0,0.0,0
4698,20220511,7,10,17,6.0,5.0,0
12346,20181207,7,18,29,1.0,3.0,0
8714,20200907,5,5,15,7.0,5.0,0
19424,20180411,5,19,16,10.0,8.0,1
29322,20210515,6,13,11,9.0,7.0,1
25773,20190405,5,20,12,0.0,1.0,0
33790,20180618,5,17,12,3.0,3.0,0
46166,20200324,6,20,10,2.0,0.0,0
15286,20181113,6,18,28,3.0,8.0,0
49057,20200502,5,6,10,4.0,8.0,0
49545,20181210,5,24,12,7.0,10.0,1
32940,20180723,3,16,27,5.0,7.0,0
16431,20201027,1,14,13,2.0,6.0,0
38705,20200705,4,4,20,7.0,3.0,0
40623,20180522,7,13,12,1.0,6.0,0
12481,20181207,2,19,18,4.0,3.0,0
43468,20200423,6,2,4,0.0,8.0,0
7833,20201116,2,11,26,7.0,10.0,1
1599,20211005,6,9,17,0.0,7.0,0
49180,20201226,4,4,30,5.0,10.0,0
31205,20181204,5,14,6,8.0,4.0,0
6700,20211227,7,14,24,10.0,4.0,0
33071,20180302,1,20,9,10.0,2.0,0
39626,20181107,2,20,20,5.0,4.0,0
42800,20220526,7,23,19,1.0,6.0,0
35872,20191123,3,12,19,2.0,0.0,0
11107,20211116,4,3,2,6.0,4.0,0
47862,20200325,6,7,28,1.0,7.0,0
27409,20180722,7,12,2,0.0,2.0,0
43227,20211124,6,18,17,6.0,8.0,0
26800,20180311,1,17,3,7.0,1.0,0
42495,20191105,7,17,28,6.0,10.0,0
41522,20210529,7,9,6,6.0,4.0,0
9699,20181005,1,12,13,9.0,7.0,1
21357,20190708,5,1,28,8.0,7.0,1
6138,20200412,2,19,29,7.0,7.0,1
8524,20180118,7,9,19,2.0,8.0,0
11660,20180417,7,19,11,10.0,1.0,0
33187,20200129,2,12,29,0.0,0.0,0
35571,20190318,6,3,4,8.0,2.0,0
20823,20200707,6,8,30,10.0,2.0,0
42096,20210820,4,19,7,8.0,6.0,0
23396,20211223,1,23,23,10.0,5.0,0
5527,20210303,3,14,10,8.0,10.0,1
19750,20180824,1,15,7,2.0,2.0,0
26256,20220403,2,13,28,3.0,2.0,0
17195,20190714,2,21,1,0.0,6.0,0
35389,20181205,6,13,10,0.0,1.0,0
45595,20201116,5,3,26,6.0,6.0,0
17867,20190323,1,4,23,5.0,2.0,0
26809,20220508,4,8,11,0.0,4.0,0
18558,20220701,4,15,18,5.0,8.0,0
39906,20181107,2,10,20,3.0,6.0,0
23925,20210319,7,17,20,10.0,3.0,0
15113,20180125,4,1,9,10.0,8.0,1
13159,20190817,4,24,5,0.0,1.0,0
9863,20210324,1,17,2,8.0,10.0,1
898,20220316,3,11,12,10.0,3.0,0
42648,20201106,6,7,15,4.0,10.0,0
32333,20210728,7,24,5,2.0,10.0,0
28495,20201011,7,12,11,10.0,7.0,1
5223,20210522,4,18,15,2.0,3.0,0
48380,20210802,1,23,13,3.0,10.0,0
47175,20220625,1,11,30,8.0,0.0,0
32958,20180816,1,6,17,3.0,7.0,0
6543,20181204,4,13,7,3.0,1.0,0
18747,20200830,7,15,10,8.0,2.0,0
25856,20220123,5,3,15,5.0,3.0,0
30580,20220203,5,2,12,9.0,5.0,0
22631,20210320,5,2,23,10.0,8.0,1
8676,20210626,7,10,11,7.0,4.0,0
6277,20180412,4,5,18,1.0,9.0,0
47431,20200226,4,21,5,5.0,0.0,0
15168,20200305,5,4,9,7.0,8.0,1
14741,20200211,2,11,30,2.0,10.0,0
46402,20200805,4,13,29,0.0,0.0,0
21185,20211118,5,13,2,10.0,1.0,0
18259,20211123,6,18,12,9.0,1.0,0
25835,20180702,7,17,30,8.0,3.0,0
41141,20210322,6,7,10,2.0,6.0,0
21302,20191230,2,20,21,0.0,10.0,0
32407,20180702,1,13,12,3.0,7.0,0
14322,20200821,2,24,3,3.0,6.0,0
24551,20201206,1,9,29,6.0,1.0,0
45913,20210424,7,14,13,1.0,7.0,0
42378,20210917,4,1,30,0.0,4.0,0
32599,20190326,2,21,1,6.0,5.0,0
36103,20200113,7,14,29,2.0,5.0,0
41709,20191216,4,6,1,1.0,2.0,0
26645,20180608,5,14,18,6.0,2.0,0
15127,20210724,2,16,15,1.0,4.0,0
3070,20201213,3,4,6,2.0,2.0,0
34130,20200526,2,10,19,4.0,0.0,0
28998,20200502,7,15,22,4.0,6.0,0
12237,20211216,2,4,8,4.0,7.0,0
9230,20190124,5,12,2,5.0,10.0,0
45970,20190315,2,1,24,7.0,7.0,1
2812,20201202,6,14,14,2.0,10.0,0
17886,20201008,3,3,26,3.0,9.0,0
26788,20180615,5,22,24,10.0,2.0,0
21812,20210609,1,19,19,10.0,9.0,1
27197,20210625,1,13,14,9.0,4.0,0
29536,20180714,4,24,15,4.0,9.0,0
41166,20180107,5,15,14,8.0,7.0,1
34431,20181206,4,3,20,0.0,10.0,0
17887,20180604,1,22,29,0.0,3.0,0
5200,20190204,7,20,17,1.0,0.0,0
30657,20210420,5,17,18,5.0,6.0,0
45852,20190606,5,22,16,6.0,0.0,0
43214,20220215,5,4,27,8.0,3.0,0
47709,20210703,4,17,16,2.0,4.0,0
48350,20210813,6,23,21,2.0,9.0,0
33897,20180909,4,7,10,8.0,8.0,1
22210,20220531,6,3,4,10.0,9.0,1
31508,20191016,2,23,10,10.0,8.0,1
9124,20211120,6,19,22,4.0,9.0,0
8686,20200913,2,2,19,0.0,10.0,0
24546,20200827,2,5,15,10.0,10.0,1
12986,20220628,1,6,14,9.0,9.0,1
27484,20200205,5,22,29,5.0,6.0,0
2208,20180106,5,2,16,8.0,7.0,1
25158,20190514,7,7,6,3.0,3.0,0
19500,20190528,3,15,1,4.0,5.0,0
42662,20211005,5,24,5,8.0,1.0,0
46161,20201002,5,10,23,6.0,1.0,0
4244,20190316,5,9,6,2.0,1.0,0
13585,20200118,6,12,14,6.0,3.0,0
33614,20201118,1,6,20,5.0,8.0,0
8479,20220508,3,14,30,9.0,2.0,0
45228,20220517,7,2,0,9.0,10.0,1
2945,20180403,2,14,22,8.0,3.0,0
8966,20210223,4,6,7,2.0,8.0,0
23501,20191118,1,22,1,1.0,1.0,0
4280,20210209,5,7,15,2.0,1.0,0
31726,20211225,3,10,10,3.0,10.0,0
24753,20210807,1,19,0,4.0,9.0,0
16386,20190417,4,5,20,1.0,7.0,0
29503,20220306,1,21,14,10.0,3.0,0
2657,20200202,4,20,23,4.0,9.0,0
15852,20210913,1,20,17,7.0,10.0,1
19261,20180505,4,23,7,0.0,4.0,0
17028,20220211,4,22,20,3.0,2.0,0
44329,20200824,1,9,15,4.0,3.0,0
9496,20211015,2,12,17,10.0,5.0,0
17048,20220618,5,15,21,9.0,9.0,1
32723,20200913,4,23,18,10.0,10.0,1
31269,20190720,4,13,6,5.0,4.0,0
33377,20210414,2,13,23,0.0,1.0,0
34402,20210825,5,14,21,5.0,1.0,0
21015,20180113,2,6,23,8.0,8.0,1
12075,20220106,6,9,15,4.0,5.0,0
45048,20220519,5,10,8,0.0,1.0,0
18700,20190910,3,10,16,7.0,6.0,0
22485,20220614,5,19,17,8.0,0.0,0
33719,20220409,5,2,23,9.0,5.0,0
44860,20200821,2,20,2,9.0,9.0,1
13838,20181122,1,21,26,4.0,10.0,0
23144,20220102,6,15,9,0.0,6.0,0
8246,20220109,1,14,29,6.0,4.0,0
40,20180920,4,8,20,10.0,10.0,1
13451,20211228,5,15,23,7.0,5.0,0
16714,20191121,6,5,23,4.0,1.0,0
46557,20211018,1,1,18,9.0,3.0,0
17659,20200322,2,22,17,0.0,4.0,0
38321,20180228,4,6,5,4.0,4.0,0
42404,20190904,1,1,3,3.0,10.0,0
31871,20220621,5,14,18,2.0,8.0,0
18019,20180923,6,19,29,10.0,6.0,0
6416,20190706,3,10,28,5.0,5.0,0
6088,20180515,1,20,28,4.0,7.0,0
38576,20200710,7,24,30,2.0,10.0,0
17983,20220515,1,17,29,9.0,4.0,0
22579,20190111,4,17,3,5.0,5.0,0
10329,20201118,6,2,23,7.0,7.0,1
6720,20190628,6,20,22,3.0,10.0,0
1698,20191208,1,20,14,9.0,8.0,1
25421,20181014,6,1,28,0.0,10.0,0
35454,20190717,4,1,8,1.0,6.0,0
18652,20200630,2,21,20,0.0,4.0,0
25198,20220501,6,16,1,1.0,7.0,0
38958,20210803,2,8,18,7.0,0.0,0
2189,20200308,3,5,10,1.0,3.0,0
5787,20211231,6,24,8,1.0,5.0,0
12163,20211028,6,4,13,9.0,4.0,0
14505,20210424,4,5,23,9.0,8.0,1
37526,20220527,6,18,20,10.0,1.0,0
42879,20210804,2,6,17,4.0,3.0,0
27912,20191121,3,5,15,6.0,8.0,0
44233,20191221,3,3,26,1.0,3.0,0
3803,20210612,2,6,19,9.0,0.0,0
762,20200810,2,15,10,3.0,3.0,0
719,20200604,5,8,14,0.0,1.0,0
9260,20180901,4,24,15,4.0,4.0,0
6662,20190915,1,22,11,1.0,10.0,0
30678,20190602,6,12,4,1.0,7.0,0
45215,20191104,7,6,2,6.0,2.0,0
42301,20190202,1,20,1,5.0,3.0,0
18069,20220521,6,16,3,0.0,10.0,0
31157,20200322,6,22,3,10.0,3.0,0
23325,20200703,1,12,29,2.0,7.0,0
18577,20180628,6,24,28,7.0,10.0,1
13977,20210902,2,23,4,4.0,0.0,0
652,20200424,4,8,22,8.0,9.0,1
15430,20201211,2,18,3,8.0,8.0,1
1271,20201018,2,5,26,3.0,8.0,0
29104,20181023,4,19,12,6.0,2.0,0
4328,20210322,1,1,3,9.0,2.0,0
19544,20220422,7,8,24,8.0,8.0,1
2805,20190316,3,4,20,3.0,4.0,0
4945,20220103,2,19,19,2.0,10.0,0
12852,20220317,3,10,19,9.0,1.0,0
23920,20210713,4,14,19,10.0,8.0,1
27966,20200514,4,19,7,7.0,8.0,1
31208,20200416,2,8,23,7.0,4.0,0
47229,20180126,7,11,30,2.0,6.0,0
25650,20210614,7,22,16,3.0,3.0,0
5190,20200930,4,16,26,1.0,7.0,0
48096,20210519,2,1,1,3.0,10.0,0
43024,20220106,1,17,7,7.0,2.0,0
19140,20210510,4,22,13,10.0,3.0,0
28503,20200702,4,14,22,7.0,4.0,0
25320,20200825,6,6,16,5.0,5.0,0
14780,20200209,5,2,27,9.0,0.0,0
41379,20200817,7,19,3,1.0,0.0,0
43423,20200709,5,24,4,0.0,9.0,0
19151,20180813,3,8,14,0.0,4.0,0
38005,20180924,2,15,14,0.0,6.0,0
5998,20180328,6,5,19,9.0,2.0,0
71,20220519,7,16,12,4.0,1.0,0
3520,20210215,3,2,27,6.0,6.0,0
22363,20200710,7,18,12,5.0,4.0,0
33706,20200216,3,23,19,6.0,4.0,0
44780,20190131,6,2,13,2.0,4.0,0
18823,20180612,7,22,28,9.0,1.0,0
19301,20180311,7,5,16,0.0,8.0,0
14969,20190115,6,17,6,2.0,6.0,0
32476,20190305,2,1,30,8.0,1.0,0
15096,20220106,5,14,12,1.0,8.0,0
48455,20200327,6,4,18,10.0,2.0,0
40987,20181114,6,2,5,8.0,6.0,0
25269,20190113,7,19,4,10.0,10.0,1
9700,20180711,4,2,27,0.0,6.0,0
21469,20180412,5,14,30,8.0,8.0,1
43710,20190420,5,24,20,2.0,4.0,0
33649,20210220,6,2,3,9.0,9.0,1
4457,20210224,3,13,15,10.0,3.0,0
16913,20180625,3,11,1,6.0,10.0,0
19387,20180728,3,12,10,2.0,3.0,0
